Id,Integration_Pattern__c,Integration_Pattern_Inbound__c,Name
a250l000000oAHtAAM,OBM,SYNC,bp_SALESPOINT_BULK
a250l000000oAHuAAM,OBM,SYNC,SCHEME_CREATION
a250l000000oAHvAAM,OBM,SYNC,SALESPOINT_BRAND_MAPPING
a250l000000oAHwAAM,OBM,SYNC,SCHEME_MODIFICATION
a250l000000oAHxAAM,OBM,SYNC,SHEME_MODEL_MAPPING
a250l000000oAHyAAM,OBM,SYNC,syncVerifierFI
a250l000000oAHzAAM,OBM,SYNC,CheckPOA_OCR_Eligibility
a250l000000oAI0AAM,OBM,SYNC,OCR_Response
a250l000000oAI1AAM,OBM,SYNC,KARZA_UTILITY
a250l000000oAI2AAM,OBM,SYNC,PHOTO_UPDATE
a250l000000oAI3AAM,OBM,SYNC,RC_ BLOCKING
a250l000000oAI4AAM,OBM,SYNC,KARZA_ADDRESS_MATCH
a250l000000oAI5AAM,OBM,SYNC,CREAT_LEAD
a250l000000oAI6AAM,OBM,SYNC,GET_CUSTOMR_OFFERDETAILS
a250l000000oAI7AAM,OBM,SYNC,CREATE_APPLICAITON
a250l000000oAI8AAM,OBM,SYNC,getLoanDetailsEbcApp
a250l000000oAI9AAM,OBM,SYNC,SetupMandate
a250l000000oAIAAA2,OBM,SYNC,IMPS_Success
a250l000000oAKOAA2,OBM,SYNC,EMAILVALIDATE_STATIC
a250l000000oAKPAA2,OBM,SYNC,EMAILVALIDATE_CONTACT_STATIC
a250l000000oAKZAA2,OBM,SYNC,EMAILVALIDATEOFFICIAL
a250l000000oAKaAAM,OBM,SYNC,EMAILVALIDATEOFFICIAL_STATIC
a250l000000oAKbAAM,OBM,SYNC,FETCHCASEDETAILSALL
a250l000000oAKcAAM,OBM,SYNC,EKYCBIOMETRIC
a250l000000oAKdAAM,OBM,SYNC,MobileOTPPaperless
a250l000000oAKeAAM,OBM,SYNC,ExperianRetrieve
a250l000000oAKfAAM,OBM,SYNC,fetchSoDisposition
a250l000000oAKgAAM,OBM,SYNC,updateSoDisposition
a250l000000oAJnAAM,OBM,SYNC,AppleEligibilityCheck
a250l000000oAJoAAM,OBM,SYNC,AppleAcceptTerms
a250l000000oAJpAAM,OBM,SYNC,EligibilityCheck
a250l000000oAJqAAM,OBM,SYNC,BPMUNHOLD
